"","FECHA","DIA_NOMBRE"
"1",2014-01-01,"miércoles"
"2",2014-01-06,"lunes"
"3",2014-03-24,"lunes"
"5",2014-04-17,"jueves"
"6",2014-04-18,"viernes"
"8",2014-05-01,"jueves"
"9",2014-06-02,"lunes"
"10",2014-06-23,"lunes"
"11",2014-06-30,"lunes"
"13",2014-08-07,"jueves"
"14",2014-08-18,"lunes"
"16",2014-10-03,"viernes"
"17",2014-10-17,"viernes"
"19",2014-11-25,"martes"
"20",2015-01-01,"jueves"
"21",2015-01-12,"lunes"
"22",2015-03-23,"lunes"
"24",2015-04-02,"jueves"
"25",2015-04-03,"viernes"
"27",2015-05-01,"viernes"
"28",2015-05-18,"lunes"
"29",2015-06-08,"lunes"
"30",2015-06-15,"lunes"
"31",2015-06-29,"lunes"
"32",2015-07-20,"lunes"
"33",2015-08-07,"viernes"
"34",2015-08-17,"lunes"
"36",2015-10-02,"viernes"
"37",2015-10-16,"viernes"
"39",2015-11-25,"miércoles"
"40",2016-01-01,"viernes"
"41",2016-01-11,"lunes"
"42",2016-03-21,"lunes"
"44",2016-03-24,"jueves"
"45",2016-03-25,"viernes"
"48",2016-05-09,"lunes"
"49",2016-05-30,"lunes"
"50",2016-06-06,"lunes"
"51",2016-07-04,"lunes"
"52",2016-07-20,"miércoles"
"54",2016-08-15,"lunes"
"56",2016-10-07,"viernes"
"57",2016-10-14,"viernes"
"58",2016-11-08,"martes"
"59",2016-11-25,"viernes"
"61",2017-01-09,"lunes"
"62",2017-03-20,"lunes"
"64",2017-04-13,"jueves"
"65",2017-04-14,"viernes"
"67",2017-05-01,"lunes"
"68",2017-05-29,"lunes"
"69",2017-06-19,"lunes"
"70",2017-06-26,"lunes"
"71",2017-07-03,"lunes"
"72",2017-07-20,"jueves"
"73",2017-08-07,"lunes"
"74",2017-08-21,"lunes"
"76",2017-10-06,"viernes"
"77",2017-10-13,"viernes"
"78",2017-11-08,"miércoles"
"80",2018-01-01,"lunes"
"81",2018-01-08,"lunes"
"82",2018-03-19,"lunes"
"84",2018-03-29,"jueves"
"85",2018-03-30,"viernes"
"87",2018-05-01,"martes"
"88",2018-05-14,"lunes"
"89",2018-06-04,"lunes"
"90",2018-06-11,"lunes"
"91",2018-07-02,"lunes"
"92",2018-07-20,"viernes"
"93",2018-08-07,"martes"
"94",2018-08-20,"lunes"
"96",2018-10-05,"viernes"
"97",2018-10-12,"viernes"
"98",2018-11-08,"jueves"
